time_value,PCR_Positive_Cases_by_Specimen_Date,Antigen_Positive_Cases_by_Specimen_Date,reinfect,cases,perc_reinfect
2020-03-02,1,0,0,1,0
2020-03-03,0,0,0,0,#DIV/0!
2020-03-04,1,0,0,1,0
2020-03-05,0,0,0,0,#DIV/0!
2020-03-06,0,0,0,0,#DIV/0!
2020-03-07,1,0,0,1,0
2020-03-08,4,0,0,4,0
2020-03-09,0,0,0,0,#DIV/0!
2020-03-10,5,0,0,5,0
2020-03-11,11,0,0,11,0
2020-03-12,15,0,0,15,0
2020-03-13,57,0,0,57,0
2020-03-14,9,0,0,9,0
2020-03-15,14,0,0,14,0
2020-03-16,103,0,0,103,0
2020-03-17,109,0,0,109,0
2020-03-18,152,0,0,152,0
2020-03-19,161,0,0,161,0
2020-03-20,164,0,0,164,0
2020-03-21,76,0,0,76,0
2020-03-22,72,0,0,72,0
2020-03-23,234,0,0,234,0
2020-03-24,176,1,0,177,0
2020-03-25,198,0,0,198,0
2020-03-26,197,0,0,197,0
2020-03-27,167,0,0,167,0
2020-03-28,99,0,0,99,0
2020-03-29,75,0,0,75,0
2020-03-30,210,0,0,210,0
2020-03-31,212,0,0,212,0
2020-04-01,239,0,0,239,0
2020-04-02,223,0,0,223,0
2020-04-03,203,0,0,203,0
2020-04-04,114,0,0,114,0
2020-04-05,86,0,0,86,0
2020-04-06,401,0,0,401,0
2020-04-07,264,0,0,264,0
2020-04-08,286,0,0,286,0
2020-04-09,327,0,0,327,0
2020-04-10,317,0,0,317,0
2020-04-11,172,0,0,172,0
2020-04-12,112,0,0,112,0
2020-04-13,283,0,0,283,0
2020-04-14,284,0,0,284,0
2020-04-15,376,0,0,376,0
2020-04-16,541,0,0,541,0
2020-04-17,259,0,0,259,0
2020-04-18,139,0,0,139,0
2020-04-19,121,0,0,121,0
2020-04-20,438,0,0,438,0
2020-04-21,463,0,0,463,0
2020-04-22,437,0,0,437,0
2020-04-23,508,0,0,508,0
2020-04-24,579,0,0,579,0
2020-04-25,255,0,0,255,0
2020-04-26,120,1,0,121,0
2020-04-27,559,0,0,559,0
2020-04-28,435,0,0,435,0
2020-04-29,436,0,0,436,0
2020-04-30,462,0,0,462,0
2020-05-01,451,0,1,451,0.22172949
2020-05-02,182,1,0,183,0
2020-05-03,173,0,0,173,0
2020-05-04,689,0,0,689,0
2020-05-05,554,0,0,554,0
2020-05-06,709,0,0,709,0
2020-05-07,618,0,0,618,0
2020-05-08,541,0,0,541,0
2020-05-09,193,0,0,193,0
2020-05-10,118,0,0,118,0
2020-05-11,765,0,0,765,0
2020-05-12,677,0,0,677,0
2020-05-13,711,0,0,711,0
2020-05-14,758,0,0,758,0
2020-05-15,705,0,0,705,0
2020-05-16,285,0,0,285,0
2020-05-17,193,0,0,193,0
2020-05-18,1064,0,0,1064,0
2020-05-19,964,1,0,965,0
2020-05-20,836,0,0,836,0
2020-05-21,861,0,0,861,0
2020-05-22,744,0,0,744,0
2020-05-23,340,0,0,340,0
2020-05-24,263,0,0,263,0
2020-05-25,369,0,0,369,0
2020-05-26,1365,0,0,1365,0
2020-05-27,994,1,0,995,0
2020-05-28,1015,0,0,1015,0
2020-05-29,1110,0,0,1110,0
2020-05-30,444,0,0,444,0
2020-05-31,332,0,0,332,0
2020-06-01,1507,0,0,1507,0
2020-06-02,1265,1,0,1266,0
2020-06-03,1436,0,0,1436,0
2020-06-04,1344,2,0,1346,0
2020-06-05,1318,2,0,1320,0
2020-06-06,482,0,0,482,0
2020-06-07,435,1,0,436,0
2020-06-08,1655,0,0,1655,0
2020-06-09,1546,0,0,1546,0
2020-06-10,1446,1,0,1447,0
2020-06-11,1428,1,0,1429,0
2020-06-12,1434,0,0,1434,0
2020-06-13,684,2,0,686,0
2020-06-14,545,0,0,545,0
2020-06-15,1690,0,0,1690,0
2020-06-16,1584,0,0,1584,0
2020-06-17,1710,1,0,1711,0
2020-06-18,1766,3,0,1769,0
2020-06-19,1611,5,0,1616,0
2020-06-20,758,0,0,758,0
2020-06-21,698,0,0,698,0
2020-06-22,2029,3,0,2032,0
2020-06-23,2083,5,0,2088,0
2020-06-24,1899,5,0,1904,0
2020-06-25,1948,5,0,1953,0
2020-06-26,1963,8,0,1971,0
2020-06-27,933,0,0,933,0
2020-06-28,1037,1,0,1038,0
2020-06-29,2507,13,0,2520,0
2020-06-30,2293,15,0,2308,0
2020-07-01,2058,11,0,2069,0
2020-07-02,2024,12,0,2036,0
2020-07-03,1343,9,0,1352,0
2020-07-04,581,8,0,589,0
2020-07-05,759,3,0,762,0
2020-07-06,2519,28,1,2547,0.039261877
2020-07-07,2793,22,0,2815,0
2020-07-08,2538,19,0,2557,0
2020-07-09,2156,22,0,2178,0
2020-07-10,2133,19,0,2152,0
2020-07-11,981,12,0,993,0
2020-07-12,858,5,0,863,0
2020-07-13,2461,32,0,2493,0
2020-07-14,2450,47,0,2497,0
2020-07-15,2225,36,0,2261,0
2020-07-16,2073,45,0,2118,0
2020-07-17,1928,29,0,1957,0
2020-07-18,959,4,0,963,0
2020-07-19,812,6,0,818,0
2020-07-20,2325,41,0,2366,0
2020-07-21,2264,68,0,2332,0
2020-07-22,2000,68,0,2068,0
2020-07-23,1819,55,0,1874,0
2020-07-24,1945,53,0,1998,0
2020-07-25,866,24,0,890,0
2020-07-26,703,16,0,719,0
2020-07-27,2110,64,0,2174,0
2020-07-28,1996,71,0,2067,0
2020-07-29,1824,78,0,1902,0
2020-07-30,1790,54,0,1844,0
2020-07-31,1706,46,0,1752,0
2020-08-01,771,11,0,782,0
2020-08-02,707,18,0,725,0
2020-08-03,1896,91,0,1987,0
2020-08-04,1535,53,0,1588,0
2020-08-05,1715,49,0,1764,0
2020-08-06,1466,77,0,1543,0
2020-08-07,1390,31,0,1421,0
2020-08-08,716,16,0,732,0
2020-08-09,584,14,0,598,0
2020-08-10,1718,72,0,1790,0
2020-08-11,1470,98,0,1568,0
2020-08-12,1502,78,0,1580,0
2020-08-13,1480,75,0,1555,0
2020-08-14,1535,50,0,1585,0
2020-08-15,755,29,0,784,0
2020-08-16,629,16,0,645,0
2020-08-17,1982,112,0,2094,0
2020-08-18,1964,83,0,2047,0
2020-08-19,1718,81,0,1799,0
2020-08-20,1716,78,0,1794,0
2020-08-21,1767,81,0,1848,0
2020-08-22,848,41,0,889,0
2020-08-23,774,20,0,794,0
2020-08-24,2178,137,0,2315,0
2020-08-25,2011,79,0,2090,0
2020-08-26,1742,78,0,1820,0
2020-08-27,1675,70,0,1745,0
2020-08-28,1539,80,0,1619,0
2020-08-29,837,36,0,873,0
2020-08-30,631,23,0,654,0
2020-08-31,1796,108,0,1904,0
2020-09-01,1613,107,0,1720,0
2020-09-02,1730,81,0,1811,0
2020-09-03,1528,81,0,1609,0
2020-09-04,1244,58,0,1302,0
2020-09-05,647,27,0,674,0
2020-09-06,607,29,0,636,0
2020-09-07,715,37,0,752,0
2020-09-08,1868,115,0,1983,0
2020-09-09,1515,104,0,1619,0
2020-09-10,1396,95,0,1491,0
2020-09-11,1253,82,0,1335,0
2020-09-12,661,32,0,693,0
2020-09-13,602,36,0,638,0
2020-09-14,1717,139,0,1856,0
2020-09-15,1487,116,0,1603,0
2020-09-16,1405,86,0,1491,0
2020-09-17,1277,105,0,1382,0
2020-09-18,1294,104,0,1398,0
2020-09-19,663,30,0,693,0
2020-09-20,583,33,0,616,0
2020-09-21,1730,149,0,1879,0
2020-09-22,1519,113,0,1632,0
2020-09-23,1457,109,0,1566,0
2020-09-24,1484,141,0,1625,0
2020-09-25,1216,129,0,1345,0
2020-09-26,764,48,0,812,0
2020-09-27,636,46,0,682,0
2020-09-28,2096,287,0,2383,0
2020-09-29,1797,182,0,1979,0
2020-09-30,1831,160,0,1991,0
2020-10-01,1813,178,0,1991,0
2020-10-02,1819,166,0,1985,0
2020-10-03,985,86,0,1071,0
2020-10-04,813,56,0,869,0
2020-10-05,2461,272,0,2733,0
2020-10-06,2059,229,0,2288,0
2020-10-07,1904,228,0,2132,0
2020-10-08,1993,201,0,2194,0
2020-10-09,1803,184,0,1987,0
2020-10-10,929,90,0,1019,0
2020-10-11,893,72,0,965,0
2020-10-12,2646,297,0,2943,0
2020-10-13,2372,271,0,2643,0
2020-10-14,2108,229,0,2337,0
2020-10-15,2096,267,0,2363,0
2020-10-16,2038,216,0,2254,0
2020-10-17,938,105,0,1043,0
2020-10-18,838,82,0,920,0
2020-10-19,2767,323,0,3090,0
2020-10-20,2447,268,0,2715,0
2020-10-21,2463,224,0,2687,0
2020-10-22,2138,269,0,2407,0
2020-10-23,2195,242,1,2437,0.041034058
2020-10-24,1069,113,0,1182,0
2020-10-25,905,90,0,995,0
2020-10-26,2974,324,0,3298,0
2020-10-27,2427,243,0,2670,0
2020-10-28,2442,263,0,2705,0
2020-10-29,1980,252,0,2232,0
2020-10-30,2241,206,0,2447,0
2020-10-31,1069,94,0,1163,0
2020-11-01,929,72,0,1001,0
2020-11-02,3102,379,0,3481,0
2020-11-03,2637,269,0,2906,0
2020-11-04,2591,235,0,2826,0
2020-11-05,2571,261,0,2832,0
2020-11-06,2391,264,0,2655,0
2020-11-07,1489,140,0,1629,0
2020-11-08,1374,129,0,1503,0
2020-11-09,4070,481,0,4551,0
2020-11-10,3409,361,0,3770,0
2020-11-11,3032,414,0,3446,0
2020-11-12,3226,451,0,3677,0
2020-11-13,3430,448,0,3878,0
2020-11-14,1792,181,0,1973,0
2020-11-15,1512,200,0,1712,0
2020-11-16,4657,644,1,5301,0.018864365
2020-11-17,4056,504,0,4560,0
2020-11-18,3489,461,0,3950,0
2020-11-19,3443,464,0,3907,0
2020-11-20,3336,420,0,3756,0
2020-11-21,1788,251,0,2039,0
2020-11-22,1462,234,0,1696,0
2020-11-23,5029,839,0,5868,0
2020-11-24,4146,627,0,4773,0
2020-11-25,3922,626,0,4548,0
2020-11-26,666,93,0,759,0
2020-11-27,3381,492,0,3873,0
2020-11-28,2657,377,0,3034,0
2020-11-29,2368,307,0,2675,0
2020-11-30,7289,1055,0,8344,0
2020-12-01,6304,888,0,7192,0
2020-12-02,5735,794,0,6529,0
2020-12-03,5479,695,0,6174,0
2020-12-04,5251,800,0,6051,0
2020-12-05,3021,421,0,3442,0
2020-12-06,2145,361,0,2506,0
2020-12-07,7217,1120,0,8337,0
2020-12-08,6086,788,0,6874,0
2020-12-09,5697,882,0,6579,0
2020-12-10,5589,970,0,6559,0
2020-12-11,5603,906,0,6509,0
2020-12-12,3079,485,0,3564,0
2020-12-13,2550,476,0,3026,0
2020-12-14,7531,1382,0,8913,0
2020-12-15,6727,1070,1,7797,0.012825446
2020-12-16,5456,986,0,6442,0
2020-12-17,6305,1100,0,7405,0
2020-12-18,5798,1052,1,6850,0.01459854
2020-12-19,3159,623,0,3782,0
2020-12-20,2378,568,0,2946,0
2020-12-21,7654,1556,0,9210,0
2020-12-22,5677,1199,0,6876,0
2020-12-23,5924,1207,0,7131,0
2020-12-24,3442,639,1,4081,0.024503798
2020-12-25,730,222,0,952,0
2020-12-26,3926,902,0,4828,0
2020-12-27,3381,772,0,4153,0
2020-12-28,10113,1954,1,12067,0.008287064
2020-12-29,9120,1855,0,10975,0
2020-12-30,8839,1666,0,10505,0
2020-12-31,7491,1428,2,8919,0.022424039
2021-01-01,2688,666,0,3354,0
2021-01-02,5430,1238,2,6668,0.029994001
2021-01-03,3978,1075,0,5053,0
2021-01-04,12409,2529,0,14938,0
2021-01-05,9691,1899,0,11590,0
2021-01-06,8464,1625,1,10089,0.009911785
2021-01-07,7713,1571,3,9284,0.032313658
2021-01-08,6103,1215,0,7318,0
2021-01-09,3857,782,0,4639,0
2021-01-10,3141,731,0,3872,0
2021-01-11,8799,1936,2,10735,0.018630647
2021-01-12,7092,1303,0,8395,0
2021-01-13,6571,1205,0,7776,0
2021-01-14,6258,1220,0,7478,0
2021-01-15,5598,1072,0,6670,0
2021-01-16,3279,590,0,3869,0
2021-01-17,2559,597,0,3156,0
2021-01-18,5885,1411,1,7296,0.01370614
2021-01-19,6177,1300,0,7477,0
2021-01-20,5555,1035,0,6590,0
2021-01-21,5089,1151,0,6240,0
2021-01-22,4912,1062,0,5974,0
2021-01-23,2840,597,0,3437,0
2021-01-24,2153,619,0,2772,0
2021-01-25,5988,1333,0,7321,0
2021-01-26,4942,1095,0,6037,0
2021-01-27,4494,915,0,5409,0
2021-01-28,3963,850,0,4813,0
2021-01-29,3973,863,0,4836,0
2021-01-30,2108,567,1,2675,0.037383178
2021-01-31,1593,525,0,2118,0
2021-02-01,4826,1192,0,6018,0
2021-02-02,3815,887,0,4702,0
2021-02-03,3589,813,1,4402,0.022716947
2021-02-04,3325,824,0,4149,0
2021-02-05,3260,698,0,3958,0
2021-02-06,1841,441,1,2282,0.043821209
2021-02-07,1434,382,0,1816,0
2021-02-08,3860,936,0,4796,0
2021-02-09,3012,751,0,3763,0
2021-02-10,2885,656,0,3541,0
2021-02-11,2597,674,0,3271,0
2021-02-12,2401,630,0,3031,0
2021-02-13,1296,350,0,1646,0
2021-02-14,1116,343,0,1459,0
2021-02-15,2877,753,0,3630,0
2021-02-16,2474,648,1,3122,0.03203075
2021-02-17,2250,605,0,2855,0
2021-02-18,1607,494,1,2101,0.047596383
2021-02-19,2109,518,0,2627,0
2021-02-20,1185,344,0,1529,0
2021-02-21,963,318,0,1281,0
2021-02-22,2443,719,0,3162,0
2021-02-23,1998,466,0,2464,0
2021-02-24,1769,449,0,2218,0
2021-02-25,1549,514,0,2063,0
2021-02-26,1462,377,0,1839,0
2021-02-27,907,253,0,1160,0
2021-02-28,732,235,0,967,0
2021-03-01,1937,564,0,2501,0
2021-03-02,1578,478,0,2056,0
2021-03-03,1401,454,0,1855,0
2021-03-04,1224,431,0,1655,0
2021-03-05,1159,415,0,1574,0
2021-03-06,690,258,0,948,0
2021-03-07,579,270,0,849,0
2021-03-08,1656,519,0,2175,0
2021-03-09,1185,390,0,1575,0
2021-03-10,1355,444,0,1799,0
2021-03-11,1169,414,2,1583,0.126342388
2021-03-12,1201,419,0,1620,0
2021-03-13,794,298,0,1092,0
2021-03-14,680,273,0,953,0
2021-03-15,1653,538,0,2191,0
2021-03-16,1349,415,0,1764,0
