time_value,reinfect,cases,perc_reinfect
2020-09-08,2,947,0.211193242
2020-09-09,7,860,0.813953488
2020-09-10,1,688,0.145348837
2020-09-11,4,697,0.573888092
2020-09-12,1,378,0.264550265
2020-09-13,0,390,0
2020-09-14,1,1034,0.096711799
2020-09-15,5,1026,0.487329435
2020-09-16,3,1182,0.253807107
2020-09-17,4,1113,0.359389039
2020-09-18,6,1061,0.565504241
2020-09-19,3,578,0.519031142
2020-09-20,1,473,0.21141649
2020-09-21,3,1378,0.217706821
2020-09-22,3,1330,0.22556391
2020-09-23,7,1298,0.539291217
2020-09-24,2,1233,0.162206002
2020-09-25,6,1037,0.578592093
2020-09-26,3,633,0.473933649
2020-09-27,0,482,0
2020-09-28,9,1388,0.648414986
2020-09-29,8,1127,0.709849157
2020-09-30,7,1253,0.558659218
2020-10-01,5,1244,0.40192926
2020-10-02,4,1128,0.354609929
2020-10-03,2,676,0.295857988
2020-10-04,3,588,0.510204082
2020-10-05,3,1666,0.180072029
2020-10-06,6,1579,0.379987334
2020-10-07,6,1690,0.355029586
2020-10-08,6,1705,0.351906158
2020-10-09,4,1586,0.25220681
2020-10-10,1,857,0.116686114
2020-10-11,4,726,0.550964187
2020-10-12,5,2049,0.244021474
2020-10-13,4,1893,0.211304807
2020-10-14,6,2000,0.3
2020-10-15,9,1747,0.515168861
2020-10-16,10,1474,0.678426052
2020-10-17,5,878,0.569476082
2020-10-18,1,693,0.144300144
2020-10-19,10,2410,0.414937759
2020-10-20,9,2363,0.380871773
2020-10-21,5,2523,0.198176774
2020-10-22,9,2165,0.415704388
2020-10-23,10,2315,0.431965443
2020-10-24,4,1432,0.279329609
2020-10-25,1,1430,0.06993007
2020-10-26,8,3791,0.211026114
2020-10-27,10,3662,0.273074823
2020-10-28,8,3632,0.220264317
2020-10-29,7,3782,0.185087255
2020-10-30,7,4068,0.17207473
2020-10-31,2,2369,0.084423808
2020-11-01,1,2334,0.042844901
2020-11-02,14,5777,0.242340315
2020-11-03,14,5913,0.236766447
2020-11-04,9,6928,0.129907621
2020-11-05,12,7462,0.160814795
2020-11-06,17,7345,0.231449966
2020-11-07,13,4369,0.297550927
2020-11-08,6,4110,0.145985401
2020-11-09,23,9227,0.249268451
2020-11-10,22,8347,0.263567749
2020-11-11,8,7735,0.103425986
2020-11-12,15,7469,0.200830098
2020-11-13,13,7453,0.174426405
2020-11-14,7,4346,0.161067648
2020-11-15,4,3925,0.101910828
2020-11-16,11,8821,0.124702415
2020-11-17,14,7892,0.17739483
2020-11-18,14,7576,0.184794087
2020-11-19,9,7041,0.127822752
2020-11-20,12,6776,0.177095632
2020-11-21,3,3680,0.081521739
2020-11-22,5,3145,0.158982512
2020-11-23,19,8066,0.235556658
2020-11-24,21,7263,0.28913672
2020-11-25,11,6016,0.182845745
2020-11-26,4,811,0.493218249
2020-11-27,9,5360,0.167910448
2020-11-28,7,4083,0.171442567
2020-11-29,12,3216,0.373134328
2020-11-30,17,7812,0.217613927
2020-12-01,26,6488,0.400739827
2020-12-02,13,5653,0.22996639
2020-12-03,8,4834,0.165494415
2020-12-04,11,4713,0.233396987
2020-12-05,9,2336,0.385273973
2020-12-06,5,2163,0.231160425
2020-12-07,13,4873,0.266776113
2020-12-08,16,4395,0.364050057
2020-12-09,11,3423,0.321355536
2020-12-10,9,3049,0.295178747
2020-12-11,19,3136,0.605867347
2020-12-12,2,1692,0.11820331
2020-12-13,4,1440,0.277777778
2020-12-14,14,3288,0.425790754
2020-12-15,12,3040,0.394736842
2020-12-16,7,2370,0.29535865
2020-12-17,6,2290,0.262008734
2020-12-18,15,2251,0.666370502
2020-12-19,2,1284,0.15576324
2020-12-20,3,1003,0.299102692
2020-12-21,25,2635,0.948766603
2020-12-22,15,2124,0.706214689
2020-12-23,4,1508,0.265251989
2020-12-24,6,901,0.665926748
2020-12-25,1,241,0.414937759
2020-12-26,7,1614,0.433705081
2020-12-27,3,1217,0.246507806
2020-12-28,20,2903,0.688942473
2020-12-29,12,2315,0.518358531
2020-12-30,10,2334,0.428449015
2020-12-31,18,1656,1.086956522
2021-01-01,7,524,1.335877863
2021-01-02,5,1838,0.27203482
2021-01-03,6,1398,0.429184549
2021-01-04,21,3021,0.695134062
2021-01-05,9,2267,0.397000441
2021-01-06,13,1890,0.687830688
2021-01-07,7,1810,0.386740331
2021-01-08,12,1678,0.715137068
2021-01-09,2,1016,0.196850394
2021-01-10,2,778,0.257069409
2021-01-11,21,2070,1.014492754
2021-01-12,9,1322,0.680786687
2021-01-13,8,1479,0.540906018
2021-01-14,14,1332,1.051051051
2021-01-15,14,1174,1.192504259
2021-01-16,2,864,0.231481481
2021-01-17,6,703,0.853485064
2021-01-18,11,1542,0.713359274
2021-01-19,7,1385,0.505415162
2021-01-20,9,1297,0.693909021
2021-01-21,13,1206,1.077943615
2021-01-22,16,1146,1.396160558
2021-01-23,7,671,1.043219076
2021-01-24,3,538,0.557620818
2021-01-25,18,1264,1.424050633
2021-01-26,13,1066,1.219512195
2021-01-27,8,1091,0.733272227
2021-01-28,14,1019,1.373895976
2021-01-29,9,991,0.908173562
2021-01-30,4,618,0.647249191
2021-01-31,8,517,1.547388781
2021-02-01,15,1169,1.28314799
2021-02-02,14,1058,1.323251418
2021-02-03,21,1035,2.028985507
2021-02-04,15,899,1.668520578
2021-02-05,25,1023,2.443792766
2021-02-06,6,541,1.109057301
2021-02-07,3,397,0.755667506
2021-02-08,25,1043,2.396931927
2021-02-09,15,872,1.720183486
2021-02-10,7,943,0.742311771
2021-02-11,18,849,2.120141343
2021-02-12,14,843,1.660735469
2021-02-13,12,522,2.298850575
2021-02-14,7,424,1.650943396
2021-02-15,20,839,2.383790226
2021-02-16,23,902,2.549889135
2021-02-17,19,848,2.240566038
2021-02-18,24,854,2.81030445
2021-02-19,27,828,3.260869565
2021-02-20,9,502,1.792828685
2021-02-21,8,471,1.6985138
2021-02-22,31,1050,2.952380952
2021-02-23,28,923,3.033586132
2021-02-24,19,831,2.286401925
2021-02-25,19,836,2.272727273
2021-02-26,29,881,3.291713961
2021-02-27,14,471,2.972399151
2021-02-28,10,390,2.564102564
2021-03-01,27,1013,2.665350444
2021-03-02,14,885,1.581920904
2021-03-03,21,956,2.19665272
2021-03-04,23,947,2.428722281
2021-03-05,18,884,2.036199095
2021-03-06,14,565,2.477876106
2021-03-07,12,568,2.112676056
2021-03-08,36,1235,2.914979757
2021-03-09,31,1093,2.836230558
2021-03-10,19,1149,1.653611836
2021-03-11,29,1122,2.584670232
2021-03-12,37,1122,3.297682709
2021-03-13,9,653,1.378254211
2021-03-14,11,620,1.774193548
2021-03-15,33,1466,2.251023192
2021-03-16,27,1402,1.925820257
2021-03-17,31,1347,2.301410542
2021-03-18,32,1372,2.332361516
2021-03-19,27,1339,2.016430172
2021-03-20,7,875,0.8
2021-03-21,17,848,2.004716981
2021-03-22,34,1878,1.810436635
2021-03-23,41,1739,2.357676826
2021-03-24,25,1732,1.443418014
2021-03-25,28,1749,1.600914808
2021-03-26,36,1850,1.945945946
2021-03-27,16,1167,1.371036847
2021-03-28,14,1085,1.290322581
2021-03-29,41,2346,1.747655584
2021-03-30,49,2210,2.21719457
2021-03-31,35,2292,1.527050611
2021-04-01,25,2166,1.154201293
2021-04-02,35,2139,1.636278635
2021-04-03,19,1457,1.304049417
2021-04-04,6,660,0.909090909
2021-04-05,34,2845,1.195079086
2021-04-06,46,2557,1.798983183
2021-04-07,40,2524,1.584786054
2021-04-08,33,2375,1.389473684
2021-04-09,46,2303,1.997394703
2021-04-10,20,1364,1.46627566
2021-04-11,14,1280,1.09375
2021-04-12,45,2625,1.714285714
2021-04-13,43,2313,1.859057501
2021-04-14,35,2308,1.516464471
2021-04-15,31,2155,1.438515081
2021-04-16,30,1936,1.549586777
2021-04-17,13,1098,1.183970856
2021-04-18,13,998,1.30260521
2021-04-19,44,2260,1.946902655
2021-04-20,35,1934,1.809720786
2021-04-21,37,1983,1.865859808
2021-04-22,25,1751,1.427755568
2021-04-23,29,1672,1.734449761
2021-04-24,13,979,1.327885598
2021-04-25,18,1007,1.787487587
2021-04-26,32,2175,1.471264368
2021-04-27,35,1865,1.876675603
2021-04-28,28,1764,1.587301587
2021-04-29,28,1730,1.61849711
2021-04-30,30,1587,1.890359168
2021-05-01,15,835,1.796407186
2021-05-02,17,890,1.91011236
2021-05-03,34,1769,1.921989825
2021-05-04,25,1434,1.743375174
2021-05-05,23,1260,1.825396825
2021-05-06,21,1211,1.734104046
2021-05-07,25,1044,2.394636015
2021-05-08,6,614,0.977198697
2021-05-09,10,526,1.901140684
2021-05-10,24,1195,2.008368201
2021-05-11,21,918,2.287581699
2021-05-12,20,1050,1.904761905
