sampling_week,effective_concentration_rolling_average,region,state,name,fipscode
2020-04-22,7612.126377,Northeast,MA,"Plymouth County, MA",25023
2020-04-22,560.6598189,South,VA,"Stafford County, VA",51179
2020-04-22,65.60455474,Midwest,IN,"Steuben County, IN",18151
2020-04-22,297.2522333,Northeast,MA,"Suffolk County, MA",25025
2020-04-22,0,West,WY,"Teton County, WY",56039
2020-04-22,0,West,OR,"Yamhill County, OR",41071
2020-04-22,3.771816799,West,AZ,"Yavapai County, AZ",4025
2020-04-29,233.5536693,West,CO,"Arapahoe County, CO",8005
2020-04-29,49.77198763,West,OR,"Deschutes County, OR",41017
2020-04-29,2599.380746,Northeast,NJ,"Essex County, NJ",34013
2020-04-29,19.71485541,Northeast,CT,"Fairfield County, CT",9001
2020-04-29,138.5177987,Northeast,MA,"Hampshire County, MA",25015
2020-04-29,0,South,KY,"Harrison County, KY",21097
2020-04-29,1201.44691,Midwest,MN,"Hennepin County, MN",27053
2020-04-29,0,West,HI,"Honolulu County, HI",15003
2020-04-29,0,Northeast,PA,"Indiana County, PA",42063
2020-04-29,254.5147477,South,KY,"Jefferson County, KY",21111
2020-04-29,92.04709303,South,FL,"Miami-Dade County, FL",12086
2020-04-29,35.14149271,West,OR,"Multnomah County, OR",41051
2020-04-29,0,Northeast,MA,"Nantucket County, MA",25019
2020-04-29,193.4633878,South,DE,"New Castle County, DE",10003
2020-04-29,30.54648592,South,OK,"Oklahoma County, OK",40109
2020-04-29,0,West,MT,"Park County, MT",30067
2020-04-29,168.9967289,Midwest,IL,"Peoria County, IL",17143
2020-04-29,0,West,CA,"Placer County, CA",6061
2020-04-29,2549.36356,Northeast,MA,"Plymouth County, MA",25023
2020-04-29,699.9643965,South,VA,"Stafford County, VA",51179
2020-04-29,45.99173766,Midwest,IN,"Steuben County, IN",18151
2020-04-29,170.8356339,Northeast,MA,"Suffolk County, MA",25025
2020-04-29,0,West,WY,"Teton County, WY",56039
2020-04-29,0,West,OR,"Yamhill County, OR",41071
2020-04-29,0,West,AZ,"Yavapai County, AZ",4025
2020-05-06,0,West,ID,"Ada County, ID",16001
2020-05-06,213.3298322,West,CO,"Arapahoe County, CO",8005
2020-05-06,0,South,FL,"Brevard County, FL",12009
2020-05-06,383.1527115,Northeast,PA,"Dauphin County, PA",42043
2020-05-06,0,West,OR,"Deschutes County, OR",41017
2020-05-06,0,West,NV,"Elko County, NV",32007
2020-05-06,277.5452785,Northeast,NJ,"Essex County, NJ",34013
2020-05-06,10.32157611,Northeast,CT,"Fairfield County, CT",9001
2020-05-06,47.79344461,South,TN,"Hamilton County, TN",47065
2020-05-06,68.36978917,Northeast,MA,"Hampshire County, MA",25015
2020-05-06,0,South,KY,"Harrison County, KY",21097
2020-05-06,929.3504704,Midwest,MN,"Hennepin County, MN",27053
2020-05-06,0,West,HI,"Honolulu County, HI",15003
2020-05-06,0,Northeast,PA,"Indiana County, PA",42063
2020-05-06,191.2752393,South,KY,"Jefferson County, KY",21111
2020-05-06,0,Northeast,ME,"Knox County, ME",23013
2020-05-06,28.98555453,West,CA,"Lake County, CA",6033
2020-05-06,0,West,ID,"Latah County, ID",16057
2020-05-06,254.0759434,South,FL,"Miami-Dade County, FL",12086
2020-05-06,0,West,CA,"Monterey County, CA",6053
2020-05-06,719.1233807,Northeast,PA,"Montgomery County, PA",42091
2020-05-06,117.138309,West,OR,"Multnomah County, OR",41051
2020-05-06,0,Northeast,MA,"Nantucket County, MA",25019
2020-05-06,257.403843,South,DE,"New Castle County, DE",10003
2020-05-06,7.63662148,South,OK,"Oklahoma County, OK",40109
2020-05-06,1387.573248,South,FL,"Palm Beach County, FL",12099
2020-05-06,0,West,MT,"Park County, MT",30067
2020-05-06,0,Northeast,ME,"Penobscot County, ME",23019
2020-05-06,126.2709613,Midwest,IL,"Peoria County, IL",17143
2020-05-06,0,West,CA,"Placer County, CA",6061
2020-05-06,824.8471244,Northeast,MA,"Plymouth County, MA",25023
2020-05-06,0,Northeast,ME,"Sagadahoc County, ME",23023
2020-05-06,35.16084598,West,CA,"San Luis Obispo County, CA",6079
2020-05-06,0,West,CA,"Santa Cruz County, CA",6087
2020-05-06,1019.549192,West,WA,"Skagit County, WA",53057
2020-05-06,786.1790641,South,VA,"Stafford County, VA",51179
2020-05-06,60.26707495,Midwest,IN,"Steuben County, IN",18151
2020-05-06,76.63722629,Northeast,MA,"Suffolk County, MA",25025
2020-05-06,7.389707088,West,WY,"Teton County, WY",56039
2020-05-06,0,Northeast,RI,"Washington County, RI",44009
2020-05-06,0,West,OR,"Yamhill County, OR",41071
2020-05-06,0,West,AZ,"Yavapai County, AZ",4025
2020-05-13,5.678670451,West,ID,"Ada County, ID",16001
2020-05-13,70.58226754,West,CO,"Arapahoe County, CO",8005
2020-05-13,0,South,FL,"Brevard County, FL",12009
2020-05-13,234.2470711,Northeast,PA,"Dauphin County, PA",42043
2020-05-13,1.120303804,West,OR,"Deschutes County, OR",41017
2020-05-13,0,West,NV,"Elko County, NV",32007
2020-05-13,62.32188258,Northeast,NJ,"Essex County, NJ",34013
2020-05-13,1.759677785,Northeast,CT,"Fairfield County, CT",9001
2020-05-13,771.7639071,Northeast,PA,"Franklin County, PA",42055
2020-05-13,73.64760582,Northeast,MA,"Hampshire County, MA",25015
2020-05-13,0,South,KY,"Harrison County, KY",21097
2020-05-13,434.5991517,Midwest,MN,"Hennepin County, MN",27053
2020-05-13,0,West,HI,"Honolulu County, HI",15003
2020-05-13,0.456503676,Northeast,PA,"Indiana County, PA",42063
2020-05-13,62.17353081,South,KY,"Jefferson County, KY",21111
2020-05-13,0.766022612,Northeast,ME,"Knox County, ME",23013
2020-05-13,96.6185151,West,CA,"Lake County, CA",6033
2020-05-13,114.2837504,Midwest,IN,"Lake County, IN",18089
2020-05-13,0,West,ID,"Latah County, ID",16057
2020-05-13,118.3769954,South,FL,"Miami-Dade County, FL",12086
2020-05-13,0,West,CA,"Monterey County, CA",6053
2020-05-13,176.7621983,Northeast,PA,"Montgomery County, PA",42091
2020-05-13,35.14149271,West,OR,"Multnomah County, OR",41051
2020-05-13,34.9718051,Northeast,NY,"Nassau County, NY",36059
2020-05-13,343.9130069,South,DE,"New Castle County, DE",10003
2020-05-13,0,South,OK,"Oklahoma County, OK",40109
2020-05-13,1533.698833,South,FL,"Palm Beach County, FL",12099
2020-05-13,0,West,MT,"Park County, MT",30067
2020-05-13,0,Northeast,ME,"Penobscot County, ME",23019
2020-05-13,54.51146878,Midwest,IL,"Peoria County, IL",17143
2020-05-13,0.630020263,West,AZ,"Pima County, AZ",4019
2020-05-13,0,West,CA,"Placer County, CA",6061
2020-05-13,281.4329267,Northeast,MA,"Plymouth County, MA",25023
2020-05-13,108.6152053,West,CA,"San Luis Obispo County, CA",6079
2020-05-13,674.0881617,South,VA,"Stafford County, VA",51179
2020-05-13,139.2483804,Midwest,IN,"Steuben County, IN",18151
2020-05-13,129.0819825,Northeast,MA,"Suffolk County, MA",25025
2020-05-13,9.495856862,Midwest,IN,"Tippecanoe County, IN",18157
2020-05-13,0,Northeast,RI,"Washington County, RI",44009
2020-05-13,0,Northeast,PA,"Westmoreland County, PA",42129
2020-05-13,0,West,OR,"Yamhill County, OR",41071
2020-05-13,1.147073958,West,AZ,"Yavapai County, AZ",4025
2020-05-13,0.846943867,Northeast,ME,"York County, ME",23031
2020-05-20,25.76985481,West,ID,"Ada County, ID",16001
2020-05-20,60.85113141,West,CO,"Arapahoe County, CO",8005
2020-05-20,2.13369917,South,FL,"Brevard County, FL",12009
2020-05-20,0,Northeast,VT,"Chittenden County, VT",50007
2020-05-20,217.7194906,Northeast,PA,"Dauphin County, PA",42043
2020-05-20,4.681073741,West,OR,"Deschutes County, OR",41017
2020-05-20,0,West,NV,"Elko County, NV",32007
2020-05-20,34.89376171,Northeast,PA,"Erie County, PA",42049
2020-05-20,43.4178796,Northeast,NJ,"Essex County, NJ",34013
2020-05-20,374.1639521,Northeast,PA,"Franklin County, PA",42055
2020-05-20,267.4795518,South,TN,"Hamilton County, TN",47065
2020-05-20,35.20494399,Northeast,MA,"Hampshire County, MA",25015
2020-05-20,54.00876298,South,KY,"Harrison County, KY",21097
2020-05-20,194.2741882,Northeast,CT,"Hartford County, CT",9003
2020-05-20,196.5401752,Midwest,MN,"Hennepin County, MN",27053
2020-05-20,0,West,HI,"Honolulu County, HI",15003
2020-05-20,1.826014704,Northeast,PA,"Indiana County, PA",42063
2020-05-20,36.91282989,South,KY,"Jefferson County, KY",21111
2020-05-20,3.064090446,Northeast,ME,"Knox County, ME",23013
2020-05-20,24.15462878,West,CA,"Lake County, CA",6033
2020-05-20,113.531791,Midwest,IN,"Lake County, IN",18089
2020-05-20,1.996736733,West,ID,"Latah County, ID",16057
2020-05-20,0.806024969,West,CA,"Los Angeles County, CA",6037
2020-05-20,44.93506331,South,FL,"Miami-Dade County, FL",12086
2020-05-20,10.53302255,Northeast,CT,"Middlesex County, CT",9007
2020-05-20,0,West,CA,"Monterey County, CA",6053
2020-05-20,18.92317938,Northeast,PA,"Montgomery County, PA",42091
2020-05-20,0,Northeast,MA,"Nantucket County, MA",25019
2020-05-20,7.28579273,Northeast,NY,"Nassau County, NY",36059
2020-05-20,167.3115234,South,DE,"New Castle County, DE",10003
2020-05-20,0.79199007,South,OK,"Oklahoma County, OK",40109
2020-05-20,396.1557939,South,FL,"Palm Beach County, FL",12099
2020-05-20,0,West,MT,"Park County, MT",30067
2020-05-20,0,Northeast,ME,"Penobscot County, ME",23019
2020-05-20,65.24967376,Midwest,IL,"Peoria County, IL",17143
2020-05-20,2.520081051,West,AZ,"Pima County, AZ",4019
2020-05-20,3.43916057,West,CA,"Placer County, CA",6061
2020-05-20,42.74184058,Northeast,MA,"Plymouth County, MA",25023
2020-05-20,0,Northeast,ME,"Sagadahoc County, ME",23023
2020-05-20,33.71752388,West,CA,"San Luis Obispo County, CA",6079
2020-05-20,282.3745271,South,VA,"Stafford County, VA",51179
2020-05-20,58.13068048,Midwest,IN,"Steuben County, IN",18151
2020-05-20,127.3250581,Northeast,MA,"Suffolk County, MA",25025
2020-05-20,29.55882835,West,WY,"Teton County, WY",56039
2020-05-20,1.978303513,Midwest,IN,"Tippecanoe County, IN",18157
2020-05-20,28.05960481,Northeast,NJ,"Union County, NJ",34039
2020-05-20,0,Northeast,RI,"Washington County, RI",44009
2020-05-20,0,Northeast,PA,"Westmoreland County, PA",42129
2020-05-20,5.316619451,West,OR,"Yamhill County, OR",41071
2020-05-20,4.588295832,West,AZ,"Yavapai County, AZ",4025
2020-05-20,2.823146222,Northeast,ME,"York County, ME",23031
2020-05-27,20.98163819,West,ID,"Ada County, ID",16001
2020-05-27,69.74039524,West,CO,"Arapahoe County, CO",8005
2020-05-27,10.24175602,South,FL,"Brevard County, FL",12009
2020-05-27,412.8780258,Northeast,PA,"Dauphin County, PA",42043
2020-05-27,2.303685492,West,OR,"Deschutes County, OR",41017
2020-05-27,17.82244877,West,NV,"Elko County, NV",32007
2020-05-27,56.87278916,Northeast,PA,"Erie County, PA",42049
2020-05-27,27.57757466,Northeast,NJ,"Essex County, NJ",34013
2020-05-27,0,Northeast,CT,"Fairfield County, CT",9001
2020-05-27,173.3855848,Northeast,PA,"Franklin County, PA",42055
2020-05-27,567.0001792,South,TN,"Hamilton County, TN",47065
2020-05-27,14.81028523,Northeast,MA,"Hampshire County, MA",25015
2020-05-27,259.2420623,South,KY,"Harrison County, KY",21097
2020-05-27,206.1280957,Midwest,MN,"Hennepin County, MN",27053
2020-05-27,0,West,HI,"Honolulu County, HI",15003
2020-05-27,2.525308468,Northeast,PA,"Indiana County, PA",42063
2020-05-27,142.4435929,South,KY,"Jefferson County, KY",21111
2020-05-27,0.919227134,Northeast,ME,"Knox County, ME",23013
2020-05-27,0,West,CA,"Lake County, CA",6033
2020-05-27,38.70027898,Midwest,IN,"Lake County, IN",18089
2020-05-27,9.584336316,West,ID,"Latah County, ID",16057
2020-05-27,56.57864872,South,FL,"Miami-Dade County, FL",12086
2020-05-27,0,West,CA,"Monterey County, CA",6053
2020-05-27,0,Northeast,NY,"Nassau County, NY",36059
2020-05-27,88.97044537,South,DE,"New Castle County, DE",10003
2020-05-27,3.801552338,South,OK,"Oklahoma County, OK",40109
2020-05-27,249.6478331,South,FL,"Palm Beach County, FL",12099
2020-05-27,0,West,MT,"Park County, MT",30067
2020-05-27,0,Northeast,ME,"Penobscot County, ME",23019
2020-05-27,35.35829815,Midwest,IL,"Peoria County, IL",17143
2020-05-27,29.2271939,West,CA,"Placer County, CA",6061
2020-05-27,72.76783432,Northeast,MA,"Plymouth County, MA",25023
2020-05-27,0,Northeast,ME,"Sagadahoc County, ME",23023
2020-05-27,6.704652463,West,CA,"San Luis Obispo County, CA",6079
2020-05-27,8.079003722,West,CA,"Santa Cruz County, CA",6087
2020-05-27,21.59869172,Midwest,IN,"Steuben County, IN",18151
2020-05-27,75.5706538,Northeast,MA,"Suffolk County, MA",25025
2020-05-27,8.547937298,West,WY,"Teton County, WY",56039
2020-05-27,0,Midwest,IN,"Tippecanoe County, IN",18157
2020-05-27,6.853731935,Northeast,NJ,"Union County, NJ",34039
2020-05-27,0,Northeast,PA,"Westmoreland County, PA",42129
2020-05-27,25.51977337,West,OR,"Yamhill County, OR",41071
2020-05-27,1.387731925,West,AZ,"Yavapai County, AZ",4025
2020-05-27,0.705786555,Northeast,ME,"York County, ME",23031
2020-06-03,37.85410871,West,ID,"Ada County, ID",16001
2020-06-03,62.54177915,West,CO,"Arapahoe County, CO",8005
2020-06-03,79.23529287,West,NV,"Elko County, NV",32007
2020-06-03,69.18729362,Northeast,PA,"Erie County, PA",42049
2020-06-03,44.15246891,Northeast,NJ,"Essex County, NJ",34013
2020-06-03,71.29373235,Northeast,PA,"Franklin County, PA",42055
2020-06-03,151.298818,Midwest,MN,"Hennepin County, MN",27053
2020-06-03,17.04651784,Northeast,PA,"Indiana County, PA",42063
2020-06-03,35.71110568,Midwest,IN,"Lake County, IN",18089
2020-06-03,3.224099877,West,CA,"Los Angeles County, CA",6037
2020-06-03,172.5176771,South,FL,"Miami-Dade County, FL",12086
2020-06-03,0,West,CA,"Monterey County, CA",6053
2020-06-03,0,Northeast,NY,"Nassau County, NY",36059
2020-06-03,156.2772335,South,DE,"New Castle County, DE",10003
2020-06-03,0,West,MT,"Park County, MT",30067
2020-06-03,116.315403,Midwest,IL,"Peoria County, IL",17143
2020-06-03,70.41034284,West,CA,"Placer County, CA",6061
2020-06-03,96.38073377,Northeast,MA,"Plymouth County, MA",25023
2020-06-03,8.672166102,West,CA,"San Luis Obispo County, CA",6079
2020-06-03,20.72422186,West,CA,"Santa Cruz County, CA",6087
2020-06-03,30.73943159,West,WA,"Skagit County, WA",53057
2020-06-03,12.09217102,Midwest,IN,"Steuben County, IN",18151
2020-06-03,51.92201974,Northeast,MA,"Suffolk County, MA",25025
2020-06-03,4.632920842,West,WY,"Teton County, WY",56039
2020-06-03,7.003780306,Northeast,NJ,"Union County, NJ",34039
2020-06-03,0,Northeast,PA,"Westmoreland County, PA",42129
2020-06-03,1.155158244,West,AZ,"Yavapai County, AZ",4025
2020-06-03,0,Northeast,ME,"York County, ME",23031
2020-06-10,127.7544795,West,ID,"Ada County, ID",16001
2020-06-10,62.44148163,West,CO,"Arapahoe County, CO",8005
2020-06-10,397.7466176,Northeast,PA,"Dauphin County, PA",42043
2020-06-10,49.60443987,West,NV,"Elko County, NV",32007
2020-06-10,36.06147221,Northeast,PA,"Erie County, PA",42049
2020-06-10,40.32263249,Northeast,NJ,"Essex County, NJ",34013
2020-06-10,11.9417008,Northeast,MA,"Hampshire County, MA",25015
2020-06-10,244.5935373,Midwest,MN,"Hennepin County, MN",27053
2020-06-10,39.46840743,Northeast,PA,"Indiana County, PA",42063
2020-06-10,129.129598,South,KY,"Jefferson County, KY",21111
2020-06-10,0,West,CA,"Lake County, CA",6033
2020-06-10,293.3360463,South,FL,"Miami-Dade County, FL",12086
2020-06-10,26.5301244,West,CA,"Monterey County, CA",6053
2020-06-10,3.109393467,Northeast,PA,"Montgomery County, PA",42091
2020-06-10,17.27036845,Northeast,MA,"Nantucket County, MA",25019
2020-06-10,0,Northeast,NY,"Nassau County, NY",36059
2020-06-10,171.3478756,South,DE,"New Castle County, DE",10003
2020-06-10,0,West,MT,"Park County, MT",30067
2020-06-10,183.572026,Midwest,IL,"Peoria County, IL",17143
2020-06-10,107.8756825,West,CA,"Placer County, CA",6061
2020-06-10,3.641294251,West,CA,"San Luis Obispo County, CA",6079
2020-06-10,50.06705759,West,WA,"Skagit County, WA",53057
2020-06-10,146.5246061,South,VA,"Stafford County, VA",51179
2020-06-10,24.12466729,Midwest,IN,"Steuben County, IN",18151
2020-06-10,45.40256173,Northeast,MA,"Suffolk County, MA",25025
2020-06-10,1.389876253,West,WY,"Teton County, WY",56039
2020-06-10,12.89540723,Northeast,NJ,"Union County, NJ",34039
2020-06-10,0,Northeast,RI,"Washington County, RI",44009
2020-06-17,229.2750499,West,ID,"Ada County, ID",16001
2020-06-17,45.03986337,West,CO,"Arapahoe County, CO",8005
2020-06-17,418.0090714,Northeast,PA,"Dauphin County, PA",42043
2020-06-17,15.88171661,West,NV,"Elko County, NV",32007
2020-06-17,19.47886396,Northeast,PA,"Erie County, PA",42049
2020-06-17,22.48792943,Northeast,NJ,"Essex County, NJ",34013
2020-06-17,30.5403454,Northeast,CT,"Fairfield County, CT",9001
2020-06-17,39.0537611,Northeast,PA,"Franklin County, PA",42055
2020-06-17,206.5931182,Midwest,MN,"Hennepin County, MN",27053
2020-06-17,26.91073928,Northeast,PA,"Indiana County, PA",42063
2020-06-17,98.89283827,South,KY,"Jefferson County, KY",21111
2020-06-17,0,West,CA,"Lake County, CA",6033
2020-06-17,24.38000511,Midwest,IN,"Lake County, IN",18089
2020-06-17,282.6648573,South,FL,"Miami-Dade County, FL",12086
2020-06-17,111.2668307,West,CA,"Monterey County, CA",6053
2020-06-17,70.57616254,South,DE,"New Castle County, DE",10003
2020-06-17,705.7920318,South,FL,"Palm Beach County, FL",12099
2020-06-17,0,West,MT,"Park County, MT",30067
2020-06-17,122.3912937,Midwest,IL,"Peoria County, IL",17143
2020-06-17,306.9729284,West,CA,"Placer County, CA",6061
2020-06-17,84.98939494,West,WA,"Skagit County, WA",53057
2020-06-17,24.43603111,Midwest,IN,"Steuben County, IN",18151
2020-06-17,31.33259545,Northeast,MA,"Suffolk County, MA",25025
2020-06-17,6.27504831,Northeast,NJ,"Union County, NJ",34039
2020-06-24,366.3933399,West,ID,"Ada County, ID",16001
2020-06-24,22.15191975,West,CO,"Arapahoe County, CO",8005
2020-06-24,0,West,OR,"Clackamas County, OR",41005
2020-06-24,222.3004178,Northeast,PA,"Dauphin County, PA",42043
2020-06-24,43.63498878,West,NV,"Elko County, NV",32007
2020-06-24,12.02329464,Northeast,PA,"Erie County, PA",42049
2020-06-24,10.02741541,Northeast,CT,"Fairfield County, CT",9001
2020-06-24,45.18954729,Northeast,PA,"Franklin County, PA",42055
2020-06-24,118.1680187,South,TN,"Hamilton County, TN",47065
2020-06-24,87.74808576,Midwest,MN,"Hennepin County, MN",27053
2020-06-24,42.14572527,Northeast,PA,"Indiana County, PA",42063
2020-06-24,65.33027374,South,KY,"Jefferson County, KY",21111
2020-06-24,0,West,CA,"Lake County, CA",6033
2020-06-24,71.35785937,Midwest,IN,"Lake County, IN",18089
2020-06-24,342.2460703,South,FL,"Miami-Dade County, FL",12086
2020-06-24,50.9396923,West,CA,"Monterey County, CA",6053
2020-06-24,6.518394248,Northeast,PA,"Montgomery County, PA",42091
2020-06-24,71.61078189,West,OR,"Multnomah County, OR",41051
2020-06-24,5.06085364,Northeast,MA,"Nantucket County, MA",25019
2020-06-24,0.689997506,Northeast,NY,"Nassau County, NY",36059
2020-06-24,48.47616693,South,DE,"New Castle County, DE",10003
2020-06-24,8.702368681,West,MT,"Park County, MT",30067
2020-06-24,63.69980346,Midwest,IL,"Peoria County, IL",17143
2020-06-24,144.3521452,West,CA,"Placer County, CA",6061
2020-06-24,52.39951676,West,WA,"Skagit County, WA",53057
2020-06-24,18.25002749,Northeast,MA,"Suffolk County, MA",25025
2020-06-24,0.272456257,Northeast,RI,"Washington County, RI",44009
2020-07-01,23.85420981,West,CO,"Arapahoe County, CO",8005
2020-07-01,213.6507193,Northeast,PA,"Dauphin County, PA",42043
2020-07-01,72.11344332,West,NV,"Elko County, NV",32007
2020-07-01,19.72785523,Northeast,PA,"Erie County, PA",42049
2020-07-01,15.19343573,Northeast,CT,"Fairfield County, CT",9001
2020-07-01,16.05805188,Northeast,MA,"Hampshire County, MA",25015
2020-07-01,86.88524137,Midwest,MN,"Hennepin County, MN",27053
2020-07-01,30.62060982,Northeast,PA,"Indiana County, PA",42063
2020-07-01,98.98542749,South,KY,"Jefferson County, KY",21111
2020-07-01,0,West,CA,"Lake County, CA",6033
2020-07-01,244.9971243,West,ID,"Latah County, ID",16057
2020-07-01,691.3974954,South,FL,"Miami-Dade County, FL",12086
2020-07-01,27.85855315,West,CA,"Monterey County, CA",6053
2020-07-01,61.16219085,South,DE,"New Castle County, DE",10003
2020-07-01,54.03092693,West,MT,"Park County, MT",30067
2020-07-01,69.1361962,Midwest,IL,"Peoria County, IL",17143
2020-07-01,94.51927397,West,CA,"Placer County, CA",6061
2020-07-01,34.76728402,West,CA,"Santa Cruz County, CA",6087
2020-07-01,66.15377545,West,WA,"Skagit County, WA",53057
2020-07-01,32.19245056,Midwest,IN,"Steuben County, IN",18151
2020-07-01,27.34086011,Northeast,MA,"Suffolk County, MA",25025
2020-07-01,21.86123685,Northeast,NJ,"Union County, NJ",34039
2020-07-08,48.28426417,West,CO,"Arapahoe County, CO",8005
2020-07-08,26.71828768,Northeast,MA,"Berkshire County, MA",25003
2020-07-08,98.37347605,West,NV,"Elko County, NV",32007
2020-07-08,53.46756743,Northeast,PA,"Erie County, PA",42049
2020-07-08,14.68410869,Northeast,CT,"Fairfield County, CT",9001
2020-07-08,122.2116951,Northeast,PA,"Franklin County, PA",42055
2020-07-08,180.7243507,South,TN,"Hamilton County, TN",47065
2020-07-08,33.53635893,Northeast,PA,"Indiana County, PA",42063
2020-07-08,168.3480773,South,KY,"Jefferson County, KY",21111
2020-07-08,130.0859231,Midwest,IN,"Lake County, IN",18089
2020-07-08,763.1957651,South,FL,"Miami-Dade County, FL",12086
2020-07-08,35.28995247,West,CA,"Monterey County, CA",6053
2020-07-08,15.58680022,Northeast,PA,"Montgomery County, PA",42091
2020-07-08,7.021729025,Northeast,MA,"Nantucket County, MA",25019
2020-07-08,4.080886136,Northeast,NY,"Nassau County, NY",36059
2020-07-08,70.77131309,South,DE,"New Castle County, DE",10003
2020-07-08,94.13074756,West,MT,"Park County, MT",30067
2020-07-08,46.17647218,Midwest,IL,"Peoria County, IL",17143
2020-07-08,67.76686494,West,CA,"Placer County, CA",6061
2020-07-08,40.1368108,West,CA,"Santa Cruz County, CA",6087
2020-07-08,36.62226878,West,WA,"Skagit County, WA",53057
