sampling_week,effective_concentration_rolling_average,region,state,name,fipscode
2020-01-15,0,Northeast,MA,"Suffolk County, MA",25025
2020-01-22,0,Northeast,MA,"Suffolk County, MA",25025
2020-01-29,0,Northeast,MA,"Suffolk County, MA",25025
2020-02-05,0,Northeast,MA,"Suffolk County, MA",25025
2020-02-12,0,Northeast,MA,"Suffolk County, MA",25025
2020-02-19,0,West,CA,"San Luis Obispo County, CA",6079
2020-02-19,0,Northeast,MA,"Suffolk County, MA",25025
2020-02-26,0,Northeast,MA,"Suffolk County, MA",25025
2020-03-04,1.450182115,Northeast,MA,"Suffolk County, MA",25025
2020-03-11,12.59034427,Northeast,MA,"Suffolk County, MA",25025
2020-03-18,58.02332206,Northeast,MA,"Suffolk County, MA",25025
2020-03-25,36.63175022,West,CO,"Arapahoe County, CO",8005
2020-03-25,4051.550869,Northeast,NJ,"Essex County, NJ",34013
2020-03-25,62.42551699,South,FL,"Miami-Dade County, FL",12086
2020-03-25,0,Midwest,IN,"Steuben County, IN",18151
2020-03-25,159.4548129,Northeast,MA,"Suffolk County, MA",25025
2020-04-01,2433.387972,Northeast,NJ,"Essex County, NJ",34013
2020-04-01,29.60517329,Northeast,MA,"Hampshire County, MA",25015
2020-04-01,141.444303,South,FL,"Miami-Dade County, FL",12086
2020-04-01,0,West,CA,"Placer County, CA",6061
2020-04-01,28.40787899,Northeast,MA,"Plymouth County, MA",25023
2020-04-01,0,West,CA,"San Luis Obispo County, CA",6079
2020-04-01,241.0907817,Northeast,MA,"Suffolk County, MA",25025
2020-04-01,0,West,OR,"Yamhill County, OR",41071
2020-04-08,289.5320861,West,OR,"Deschutes County, OR",41017
2020-04-08,5442.737621,Northeast,NJ,"Essex County, NJ",34013
2020-04-08,49.11110891,Northeast,MA,"Hampshire County, MA",25015
2020-04-08,0,South,KY,"Harrison County, KY",21097
2020-04-08,7.466506283,Northeast,PA,"Indiana County, PA",42063
2020-04-08,58.43136402,South,KY,"Jefferson County, KY",21111
2020-04-08,107.4338206,South,FL,"Miami-Dade County, FL",12086
2020-04-08,0,West,MT,"Park County, MT",30067
2020-04-08,0,West,CA,"Placer County, CA",6061
2020-04-08,0,Midwest,IN,"Steuben County, IN",18151
2020-04-08,388.8329419,Northeast,MA,"Suffolk County, MA",25025
2020-04-08,0,West,OR,"Yamhill County, OR",41071
2020-04-15,133.9046452,West,CO,"Arapahoe County, CO",8005
2020-04-15,110.0911722,West,OR,"Deschutes County, OR",41017
2020-04-15,7436.673098,Northeast,NJ,"Essex County, NJ",34013
2020-04-15,39.9315811,Northeast,CT,"Fairfield County, CT",9001
2020-04-15,109.0659028,Northeast,MA,"Hampshire County, MA",25015
2020-04-15,0,South,KY,"Harrison County, KY",21097
2020-04-15,18.3740892,Northeast,PA,"Indiana County, PA",42063
2020-04-15,177.7011781,South,KY,"Jefferson County, KY",21111
2020-04-15,69.44816407,South,FL,"Miami-Dade County, FL",12086
2020-04-15,61.2979698,Northeast,PA,"Montgomery County, PA",42091
2020-04-15,158.6087408,South,DE,"New Castle County, DE",10003
2020-04-15,41.18705696,South,OK,"Oklahoma County, OK",40109
2020-04-15,0,West,MT,"Park County, MT",30067
2020-04-15,131.885628,Midwest,IL,"Peoria County, IL",17143
2020-04-15,0,West,CA,"Placer County, CA",6061
2020-04-15,1959.433974,Northeast,MA,"Plymouth County, MA",25023
2020-04-15,14.79122993,Midwest,IN,"Steuben County, IN",18151
2020-04-15,390.8845671,Northeast,MA,"Suffolk County, MA",25025
2020-04-15,0,West,WY,"Teton County, WY",56039
2020-04-15,0,West,OR,"Yamhill County, OR",41071
2020-04-15,18.10472064,West,AZ,"Yavapai County, AZ",4025
2020-04-22,199.0879505,West,OR,"Deschutes County, OR",41017
2020-04-22,8837.006178,Northeast,NJ,"Essex County, NJ",34013
2020-04-22,29.6908859,Northeast,CT,"Fairfield County, CT",9001
2020-04-22,397.7609951,Northeast,MA,"Hampshire County, MA",25015
2020-04-22,0,South,KY,"Harrison County, KY",21097
2020-04-22,1149.176862,Midwest,MN,"Hennepin County, MN",27053
2020-04-22,4.484951214,Northeast,PA,"Indiana County, PA",42063
2020-04-22,329.7851031,South,KY,"Jefferson County, KY",21111
2020-04-22,86.25278443,South,FL,"Miami-Dade County, FL",12086
2020-04-22,370.9220412,Northeast,PA,"Montgomery County, PA",42091
2020-04-22,2292.034066,Northeast,NY,"Nassau County, NY",36059
2020-04-22,449.1985449,South,DE,"New Castle County, DE",10003
2020-04-22,16.21725835,South,OK,"Oklahoma County, OK",40109
2020-04-22,0,West,MT,"Park County, MT",30067
2020-04-22,126.3773353,Midwest,IL,"Peoria County, IL",17143
2020-04-22,0,West,CA,"Placer County, CA",6061
