sampling_week,effective_concentration_rolling_average,population,region
2021-08-11,710.3712834829249,"10,000,000-30,000,000",South
2021-08-11,402.25970323524217,"30,000,000-100,000,000",West
2021-08-18,289.52585881563925,"10,000,000-30,000,000",Midwest
2021-08-18,493.4967448740618,"30,000,000-100,000,000",Nationwide
2021-08-18,358.0160073915777,"10,000,000-30,000,000",Northeast
2021-08-18,775.1104346549286,"10,000,000-30,000,000",South
2021-08-18,430.187515686614,"30,000,000-100,000,000",West
2021-08-25,463.9455691976119,"1,000,000-3,000,000",Midwest
2021-08-25,648.9315663302403,"10,000,000-30,000,000",Nationwide
2021-08-25,384.3577351623341,"3,000,000-10,000,000",Northeast
2021-08-25,966.133840262126,"3,000,000-10,000,000",South
2021-08-25,476.9005071708198,"1,000,000-3,000,000",West
2021-09-01,555.1305675481773,"1,000,000-3,000,000",Midwest
2021-09-01,758.0121488037139,"10,000,000-30,000,000",Nationwide
2021-09-01,417.2186646006534,"3,000,000-10,000,000",Northeast
2021-09-01,1220.6013381217997,"3,000,000-10,000,000",South
2021-09-01,432.84588372843496,"1,000,000-3,000,000",West
2021-09-08,518.9192750966653,"1,000,000-3,000,000",Midwest
2021-09-08,691.5077102322288,"10,000,000-30,000,000",Nationwide
2021-09-08,387.68735035427534,"3,000,000-10,000,000",Northeast
2021-09-08,1104.9092341292935,"3,000,000-10,000,000",South
2021-09-08,472.42362706410375,"1,000,000-3,000,000",West
2021-09-15,582.7144591068173,"1,000,000-3,000,000",Midwest
2021-09-15,593.8591986047645,"10,000,000-30,000,000",Nationwide
2021-09-15,451.93519953058586,"3,000,000-10,000,000",Northeast
2021-09-15,743.342669243193,"3,000,000-10,000,000",South
2021-09-15,516.7278143640154,"1,000,000-3,000,000",West
2021-09-22,551.5500595882,"1,000,000-3,000,000",Midwest
2021-09-22,482.5770399242189,"10,000,000-30,000,000",Nationwide
2021-09-22,437.5762689960658,"3,000,000-10,000,000",Northeast
2021-09-22,516.734996570995,"3,000,000-10,000,000",South
2021-09-22,391.0375396595866,"1,000,000-3,000,000",West
2021-09-29,536.8603963180144,"1,000,000-3,000,000",Midwest
2021-09-29,485.1749619891722,"10,000,000-30,000,000",Nationwide
2021-09-29,526.4730261951586,"3,000,000-10,000,000",Northeast
2021-09-29,432.9060377751516,"3,000,000-10,000,000",South
2021-09-29,459.1680866896504,"1,000,000-3,000,000",West
2021-10-06,514.2644122274547,"1,000,000-3,000,000",Midwest
2021-10-06,470.1366427372395,"10,000,000-30,000,000",Nationwide
2021-10-06,592.3615993928789,"3,000,000-10,000,000",Northeast
2021-10-06,353.0808586557855,"3,000,000-10,000,000",South
2021-10-06,471.2997928154418,"1,000,000-3,000,000",West
2021-10-13,554.2771884271953,"1,000,000-3,000,000",Midwest
2021-10-13,407.47554395164985,"10,000,000-30,000,000",Nationwide
2021-10-13,504.0824034832581,"3,000,000-10,000,000",Northeast
2021-10-13,289.58698961509253,"3,000,000-10,000,000",South
2021-10-13,295.51132862910475,"1,000,000-3,000,000",West
2021-10-20,461.44784297120367,"1,000,000-3,000,000",Midwest
2021-10-20,403.52073973486927,"10,000,000-30,000,000",Nationwide
2021-10-20,486.5801765731628,"3,000,000-10,000,000",Northeast
2021-10-20,295.54097148370346,"3,000,000-10,000,000",South
2021-10-20,374.64663349028,"1,000,000-3,000,000",West
2021-10-27,465.9422243468138,"1,000,000-3,000,000",Midwest
2021-10-27,485.1314548713646,"10,000,000-30,000,000",Nationwide
2021-10-27,573.6107293560023,"3,000,000-10,000,000",Northeast
2021-10-27,345.63016872246885,"3,000,000-10,000,000",South
2021-10-27,678.8217717543222,"1,000,000-3,000,000",West
